"Time","temp_global_est","temp_global_min","temp_global_max","temp_africa_est","temp_africa_min","temp_africa_max","precip_global_est","precip_global_min","precip_global_max","precip_africa_est","precip_africa_min","precip_africa_max","veg_global_veg","veg_africa_veg","temp_africa_bin_1","temp_africa_bin_2","temp_africa_fossil_bin_1","temp_africa_fossil_bin_2","temp_global_bin_1","temp_global_bin_2","temp_global_fossil_bin_1","temp_global_fossil_bin_2"
"A",248.19373776908,227.743639921722,268.643835616438,NA,NA,NA,902.187159706377,563.550007711487,1443.95090659065,NA,NA,NA,"Grassland",NA,15,16,14,24,15,11,14,16
"B",247.810176125245,227.115459882583,268.504892367906,140.285714285714,130.647749510763,149.923679060665,835.327392236337,502.023401053998,1389.47906228472,514.125973239038,346.979493219552,761.558637724222,"Grassland","Evergreen",15,16,14,22,15,11,15,14
"C",243.602739726027,223.103718199609,264.101761252446,244.418786692759,238.156555772994,250.681017612524,603.092215510429,376.547769638728,965.572800018113,1742.94948236266,1037.24217768727,2928.33562360926,"Grassland","Evergreen",15,16,13,22,15,11,14,15
"D",244.843444227006,224.148727984344,265.538160469667,179.493150684931,170.442270058708,188.544031311155,487.205513854264,273.119705865388,868.491024022731,175.340366709616,120.551568579503,254.824958037814,"Grassland","Desert",15,16,17,22,15,11,16,15
"E",257.205479452055,237.636007827789,276.774951076321,153.671232876712,148.876712328767,158.465753424658,154.664680679341,91.0423806077786,262.26451631297,26.8085707432532,19.0130673155022,37.6405839040727,"Desert","Desert",15,16,17,23,15,11,17,15
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16,24,14,15,11,21,10
