TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Melursus_ursinus,0.618,VU,0,100,hypo,3,93130,,Sacco2004,18,"Used Sacco 2004, bigger sample size",1,0,1,0,0,1,0,Invert,hypo
Lycalopex_sechurae,0.6201816,NT,60,40,meso,4,4234,,Slater&Friscia2019,U,Used Slater 2019 b/c other option was a dissertation,1,0,1,0,0,1,1,Meso,meso
Herpestes_javanicus,0.621,LC,60,40,meso,3,750,,Friscia2007,5,,1,0,1,0,0,0,1,Meso,meso
Civettictis_civetta,0.623,LC,50,50,meso,5,11999.97,,Friscia2007,6,Used Friscia 2007 b/c biggest sample size,1,1,1,0,0,1,1,Omn,meso
Herpestes_naso,0.623,LC,60,40,meso,3,2999.99,,Friscia2007,4,,1,0,1,0,0,0,1,Meso,meso
Vulpes_chama,0.623931,LC,70,30,meso,2,2955.02,,Friscia2007,10,,1,0,0,0,0,0,1,Meso,hyper
Vulpes_vulpes,0.629,LC,70,30,meso,3,5476.17,,Friscia2007,10,Used Friscia 2007 b/c biggest sample size,1,0,1,0,0,0,1,Meso,hyper
Lycalopex_fulvipes,0.6296927,EN,60,40,meso,3,5146.58,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Meso,meso
Melogale_moschata,0.6314601,LC,30,70,hypo,3,805.25,,Ely2019,17,Used Ely 2019 b/c biggest sample size,1,0,1,0,0,0,1,Omn,hypo
Procyon_lotor,0.632,LC,20,80,hypo,4,5524.97,,Friscia2007,5,Used Friscia 2007 b/c biggest sample size,1,0,1,0,1,0,1,Omn,hypo
Arctictis_binturong,0.632,VU,50,50,meso,4,9875,,Friscia2007,4,Used Friscia 2007 b/c biggest sample size,0,1,1,0,0,1,1,Omn,meso
Ailuropoda_melanoleuca,0.634,VU,10,90,hypo,2,108400,,Sacco2004,17,N,0,0,0,0,0,1,1,Plant,hypo
Lycalopex_gymnocercus,0.6345991,LC,50,50,meso,3,4542.67,,Slater&Friscia2019,U,Used Slater 2019 b/c other option was a dissertation,0,0,1,0,0,1,1,Omn,meso
Ichneumia_albicauda,0.635,LC,20,80,hypo,3,3500.02,,Friscia2007,12,,1,0,1,0,0,0,1,Meso,hypo
Herpestes_edwardsii,0.635,LC,70,30,meso,3,1304.67,,Friscia2007,2,,1,0,1,0,0,0,1,Meso,hyper
Lutra_lutra,0.635308278,NT,70,30,meso,2,8785.14,,Ely2019,14,mean,1,0,0,0,0,0,1,Meso,hyper
Speothos_venaticus,0.637,NT,100,0,hyper,1,5999.98,,Friscia2007,7,Used Friscia 2007 b/c biggest sample size,0,0,0,0,0,0,1,Hyper,hyper
Herpestes_pulverulentus,0.6387102,LC,20,80,hypo,3,NA,,Slater&Friscia2019,U,genus Galerella in EltonTraits,1,0,0,0,0,1,1,Invert,hypo
Enhydra_lutris,0.6396558,EN,50,50,meso,2,23500,,Ely2019,8,Used Ely 2019 b/c biggest sample size,1,0,0,0,0,0,1,Omn,meso
Bassariscus_astutus,0.64,LC,10,90,hypo,3,1129.51,,Friscia2007,4,,1,0,1,0,0,0,1,Omn,hypo
Galidictis_fasciata,0.64,VU,70,30,meso,2,550,,Friscia2007,5,Used Friscia 2007 b/c biggest sample size,1,0,0,0,0,0,1,Meso,hyper
Canis_aureus,0.64,LC,80,20,hyper,3,10345.23,,VV1989,2,,1,0,1,0,0,0,1,Meso,hyper
Herpestes_urva,0.6414276,LC,60,40,meso,3,1863.2,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Meso,meso
Lycalopex_griseus,0.6416532,LC,60,40,meso,4,5146.58,,Slater&Friscia2019,U,,1,0,1,0,0,1,1,Meso,meso
Vulpes_macrotis,0.642,LC,70,30,meso,2,4499.97,,Friscia2007,10,,1,0,0,0,0,0,1,Meso,hyper
Pteronura_brasiliensis,0.642302924,EN,60,40,meso,2,23999.93,,Ely2019,13,mean,1,0,0,0,0,0,1,Meso,meso
Melogale_personata,0.6427669,LC,30,70,hypo,3,1702.5,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Omn,hypo
Atelocynus_microtis,0.6445953,NT,80,20,hyper,2,7749.97,,Slater&Friscia2019,U,Used Slater 2019 b/c other option was a dissertation,0,0,0,0,0,1,1,Meso,hyper
Lutra_sumatrana,0.644904459,EN,70,30,meso,2,5500,,Ely2019,1,,1,0,0,0,0,0,1,Meso,hyper
