TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Leopardus_geoffroyi,1,LC,100,0,hyper,1,5157.94,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Leopardus_guigna,1,VU,100,0,hyper,1,5157.94,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Leopardus_jacobita,1,EN,100,0,hyper,1,8133.78,,"Tellaeche, C.G., Reppucci, J.I., Morales, M.M., Luengos Vidal, E.M., Lucherini, M. (2018). External and skull morphology of the Andean cat and Pampas cat: New data from the high Andes of Argentina. Journal of Mammalogy. 99.4: 906-914.",2,measured from image in manuscript,0,0,0,0,0,0,1,Hyper,hyper
Leopardus_pardalis,1,LC,100,0,hyper,1,11900.08,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Leopardus_tigrinus,1,VU,100,0,hyper,1,2250,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Leptailurus_serval,1,LC,100,0,hyper,1,11999.97,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Lynx_canadensis,1,LC,100,0,hyper,1,9373.25,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Lynx_lynx,1,LC,100,0,hyper,1,17950,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Lynx_pardinus,1,EN,100,0,hyper,1,9400,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Lynx_rufus,1,LC,100,0,hyper,1,8904.1,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Neofelis_diardi,1,VU,100,0,hyper,1,19675.75,,"Christiansen, P. (2009). Neotype of Neofelis diardi (Mammalia: Carnivora: Felidae). Zootaxa. 2110: 58-68.",1,measured from image in manuscript,0,0,0,0,0,0,1,Hyper,hyper
Neofelis_nebulosa,1,VU,100,0,hyper,1,19675.75,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Otocolobus_manul,1,NT,100,0,hyper,1,3050,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Panthera_leo,1,VU,100,0,hyper,2,161499.06,,VV1989,2,,0,1,0,0,0,0,1,Hyper,hyper
Panthera_onca,1,NT,100,0,hyper,1,100000,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Panthera_pardus,1,VU,100,0,hyper,1,52038.22,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Panthera_tigris,1,EN,100,0,hyper,1,162564,,VV1989,2,,0,0,0,0,0,0,1,Hyper,hyper
Panthera_uncia,1,VU,100,0,hyper,1,NA,,VV1989,2,Uncia uncia in Elton Traits,0,0,0,0,0,0,1,Hyper,hyper
Pardofelis_marmorata,1,NT,100,0,hyper,1,2854.25,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Prionailurus_bengalensis,1,LC,100,0,hyper,1,3300,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Prionailurus_planiceps,1,EN,100,0,hyper,1,6750,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Prionailurus_rubiginosus,1,NT,100,0,hyper,1,1384.38,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Puma_concolor,1,LC,100,0,hyper,1,51600.04,,VV1989,1,,0,0,0,0,0,0,1,Hyper,hyper
